TN	Cue	Valid	Reaction Time	Correct
1	R	T	0.4955474999951548	T
2	L	T	0.33607710000069346	T
3	L	F	0.40035899999929825	T
4	R	F	0.5794437000004109	T
5	R	T	0.35293719999754103	T
6	L	T	0.34752860000298824	T
7	L	T	0.3321275999987847	T
8	L	T	0.3672657999995863	T
9	R	T	0.34462400000484195	T
10	L	T	0.35449309999967227	T
11	R	T	0.33897179999621585	T
12	R	T	0.35408409999945434	T
13	L	F	0.33423400000174297	T
14	L	T	0.2794873999955598	T
15	L	T	0.3360175999987405	T
16	R	T	0.3153893999988213	T
17	R	F	0.29119550000177696	T
18	R	T	0.3343860000022687	T
19	R	F	0.3386997000052361	T
20	L	T	0.3700858999945922	T
21	R	T	0.32863150000048336	T
22	R	T	0.3488548000023002	T
23	L	F	0.3294086000023526	T
24	R	F	0.3267915000033099	T
25	L	F	0.40792900000087684	T
26	L	T	0.3541668000034406	T
27	L	F	0.31948949999787146	T
28	R	F	0.39936109999689506	T
29	R	T	0.3636627999949269	T
30	L	F	0.374622499999532	T
31	R	T	0.3174836999969557	T
32	R	F	0.35867940000025555	T
33	L	T	0.3848457000058261	T
34	L	T	0.3486360999959288	T
35	R	T	0.3534397999974317	T
36	R	T	0.37329699999827426	T
37	L	T	0.4595795999994152	T
38	R	T	0.3933575999981258	T
39	R	T	0.4064691999956267	T
40	L	T	0.3241418999969028	T
41	L	F	0.37633500000083586	T
42	R	T	0.3484801000013249	T
43	R	T	0.3445025999972131	T
44	L	F	0.3765438999980688	T
45	L	F	0.28843960000085644	T
46	L	T	0.32908700000552926	T
47	L	F	0.3184610999960569	T
48	R	T	0.36127899999701185	T
49	R	T	0.32544590000179596	T
50	L	T	0.36559850000048755	T
51	L	T	0.4045289999994566	T
52	L	F	0.36691910000081407	T
53	R	F	0.401122099996428	T
54	L	T	0.3523873999947682	T
55	L	T	0.49638100000447594	T
56	L	T	0.36649580000084825	T
57	L	T	0.35364259999914793	T
58	L	F	0.3607914000021992	T
59	R	T	0.34642219999659574	T
60	L	T	0.3872599000023911	T
61	R	T	0.3859216999990167	T
62	R	T	0.451391100003093	T
63	L	T	0.41203159999713534	T
64	L	F	0.34671370000432944	T
65	R	T	0.39049030000023777	T
66	L	T	0.3285481000057189	T
67	L	F	0.40412189999915427	T
68	L	T	0.35656950000702636	T
69	R	T	0.3146624000000884	T
70	L	T	0.29617549999966286	T
71	L	F	0.4107609000056982	T
72	L	T	0.3346100999988266	T
73	R	F	0.3897043000033591	T
74	R	T	0.2787760999999591	T
75	L	F	0.33614520000264747	T
76	L	F	0.3439185000024736	T
77	R	T	0.3586938999942504	T
78	R	T	0.33729260000109207	T
79	R	T	0.35918839999794727	T
80	R	T	0.48840309999650344	T
81	L	T	0.49425869999686256	T
82	R	T	0.36095459999341983	T
83	L	F	0.4005147999996552	T
84	L	T	0.39445189999969443	T
85	R	T	0.326862699999765	T
86	L	F	0.33323789999849396	T
87	R	T	0.4695378000033088	T
88	L	T	0.35905759999877773	T
89	L	T	0.3784391000008327	T
90	R	T	0.42567910000070697	T
91	R	T	0.355666100003873	T
92	R	T	0.4229563000044436	T
93	R	T	0.6715197000012267	T
94	R	F	0.4179100999972434	T
95	R	F	0.373033600000781	T
96	L	T	0.40254450000065845	T
97	R	T	0.3542842999959248	T
98	R	T	0.5329128000012133	T
99	R	F	0.4517122000033851	T
100	L	F	0.47649319999618456	T
101	L	T	0.472280399997544	T
102	R	T	0.41435289999935776	T
103	L	F	0.4659903000065242	T
104	R	T	0.5055078000004869	T
105	R	T	0.36562059999414487	T
106	R	T	0.4756072000018321	T
107	L	T	0.38071539999509696	T
108	R	T	0.36928030000126455	T
109	L	T	0.37746019999758573	T
110	L	T	0.48145710000244435	T
111	R	F	0.3779703999971389	T
112	L	F	0.36697199999616714	T
113	R	T	0.43977430000086315	T
114	L	T	0.3582680000035907	T
115	R	T	0.3414023000004818	T
116	L	F	0.30836879999696976	T
117	L	F	0.3538029999981518	T
118	R	T	0.3568939000033424	T
119	R	T	0.42664979999972275	T
120	R	T	0.4416438999978709	T
121	R	F	0.30110539999441244	T
122	L	T	0.3147012000044924	T
123	R	T	0.3320817999992869	T
124	R	T	0.3674531000069692	T
125	R	T	0.3595030000069528	T
126	L	T	0.4218719000054989	T
127	R	T	0.3935808999958681	T
128	L	T	0.7556551000016043	T
129	R	T	0.3271682000049623	T
130	R	T	0.4606275000041933	T
131	L	T	0.3551193000021158	T
132	R	T	0.48923820000345586	T
133	L	T	0.42245760000514565	T
134	L	T	0.2938341999979457	T
135	L	T	0.3562050999971689	T
136	R	T	0.37571110000135377	T
137	R	T	0.4219366000033915	T
138	R	T	0.6608256000035908	T
139	R	T	0.360911900002975	T
140	L	T	0.2919767999992473	T
141	L	T	0.2978224999969825	T
142	R	T	0.37654079999629175	T
143	L	T	0.36658720000559697	T
144	L	F	0.3543006999971112	T
145	L	T	0.32451859999855515	T
146	R	T	0.2763649000044097	T
147	L	T	0.3094749000010779	T
148	L	F	0.33767700000316836	T
149	L	F	0.35777429999870947	T
150	L	F	0.3955484999969485	T
151	R	T	0.370918000000529	T
152	R	T	0.4172725999960676	T
153	R	T	0.4157113999972353	T
154	R	T	0.35827949999656994	T
155	L	F	0.42660919999616453	T
156	R	T	0.33312670000304934	T
157	L	T	0.3743261999989045	T
158	L	T	0.2918385999946622	T
159	R	T	0.3625616999997874	T
160	L	F	0.594230199996673	T
161	R	T	0.45130020000215154	T
162	R	T	0.3160323999982211	T
163	L	T	0.3595138999953633	T
164	R	T	0.335155400003714	T
165	R	F	0.41411759999755304	T
166	R	T	0.4119409000049927	T
167	R	T	0.33966160000272794	T
168	R	F	0.4565416000041296	T
169	R	T	0.3575328000006266	T
170	R	T	0.44904249999672174	T
171	L	T	0.38170580000587506	T
172	L	T	0.4046126999965054	T
173	L	T	0.5504634999961127	T
174	L	T	0.350963299999421	T
175	R	T	0.2963307999962126	T
176	L	T	0.35938739999983227	T
177	R	F	0.3294963000007556	T
178	R	T	0.28587530000368133	T
179	L	T	0.3717484000007971	T
180	L	T	0.3878259999983129	T
181	R	T	0.3528511999975308	T
182	L	T	0.3490760999993654	T
183	R	T	0.3567676000020583	T
184	L	F	0.40344850000110455	T
185	L	T	0.44735790000413544	T
186	R	T	0.28259780000371393	T
187	R	T	0.3571265999999014	T
188	R	T	0.33651559999998426	T
189	L	T	0.3532922999947914	T
190	R	T	0.32181479999417206	T
191	L	T	0.30883770000218647	T
192	L	T	0.3672772999998415	T
193	R	T	0.28997959999833256	T
194	L	T	0.3020930999991833	T
195	R	T	0.29899619999923743	T
196	L	T	0.29467229999863775	T
197	L	T	0.3464880000028643	T
198	L	T	0.3736460000000079	T
199	L	T	0.3243875999978627	T
